what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953633522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953634436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953682093
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332953689302
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332953690751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953700428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953777985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332953781053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953784398
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953808259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953831531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953866157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332953876775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332953877307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959288158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959299870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959314390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959317978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959338549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959340249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959439329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959452456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959467764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959473256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959475998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332959478797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959479591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959511464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959513207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959515147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332959521076
