what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228660437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228895907
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1333228898756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228951548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228958803
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1333228965684
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1333228965894
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1333228966140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1333228966352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1333228966705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333228969852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228972494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228983753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333228986478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333229011447
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1333229018407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1333229019328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1333229021913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1333229022863
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1333229024536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333229025189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333229035490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333229036020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333229068358
